Film,Year,Awards,Nominations,Decade,Win_Rate
The Hurt Locker,2009,6,9,2000,0.6666666666666666
Avatar,2009,3,9,2000,0.3333333333333333
Precious,2009,2,6,2000,0.3333333333333333
Up,2009,2,5,2000,0.4
Crazy Heart,2009,2,3,2000,0.6666666666666666
Inglourious Basterds,2009,1,8,2000,0.125
Star Trek,2009,1,4,2000,0.25
The Young Victoria,2009,1,3,2000,0.3333333333333333
The Blind Side,2009,1,2,2000,0.5
Music by Prudence,2009,1,1,2000,1.0
The Secret in Their Eyes,2009,1,1,2000,1.0
The Cove,2009,1,1,2000,1.0
The New Tenants,2009,1,1,2000,1.0
Logorama,2009,1,1,2000,1.0
Slumdog Millionaire,2008,8,10,2000,0.8
The Curious Case of Benjamin Button,2008,3,13,2000,0.23076923076923078
Milk,2008,2,8,2000,0.25
The Dark Knight,2008,2,8,2000,0.25
WALL-E,2008,1,6,2000,0.16666666666666666
The Reader,2008,1,5,2000,0.2
The Duchess,2008,1,2,2000,0.5
Departures,2008,1,1,2000,1.0
Vicky Cristina Barcelona,2008,1,1,2000,1.0
Smile Pinki,2008,1,1,2000,1.0
Man on Wire,2008,1,1,2000,1.0
Toyland,2008,1,1,2000,1.0
La Maison en Petits Cubes,2008,1,1,2000,1.0
No Country for Old Men,2007,4,8,2000,0.5
The Bourne Ultimatum,2007,3,3,2000,1.0
There Will Be Blood,2007,2,8,2000,0.25
La Vie en rose,2007,2,3,2000,0.6666666666666666
Atonement,2007,1,7,2000,0.14285714285714285
Michael Clayton,2007,1,7,2000,0.14285714285714285
Ratatouille,2007,1,5,2000,0.2
Juno,2007,1,4,2000,0.25
Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3,2000,0.3333333333333333
The Golden Compass,2007,1,2,2000,0.5
Elizabeth: The Golden Age,2007,1,2,2000,0.5
Taxi to the Dark Side,2007,1,1,2000,1.0
Peter & the Wolf,2007,1,1,2000,1.0
Once,2007,1,1,2000,1.0
Le Mozart des pickpockets,2007,1,1,2000,1.0
The Counterfeiters (Die Fälscher),2007,1,1,2000,1.0
Freeheld,2007,1,1,2000,1.0
The Departed,2006,4,5,2000,0.8
Pan's Labyrinth (El laberinto del fauno),2006,3,6,2000,0.5
Dreamgirls,2006,2,8,2000,0.25
Little Miss Sunshine,2006,2,4,2000,0.5
An Inconvenient Truth,2006,2,2,2000,1.0
Babel,2006,1,7,2000,0.14285714285714285
The Queen,2006,1,6,2000,0.16666666666666666
Letters from Iwo Jima,2006,1,4,2000,0.25
Pirates of the Caribbean: Dead Man's Chest,2006,1,4,2000,0.25
The Danish Poet,2006,1,1,2000,1.0
Happy Feet,2006,1,1,2000,1.0
The Last King of Scotland,2006,1,1,2000,1.0
The Lives of Others (Das Leben der Anderen),2006,1,1,2000,1.0
Marie Antoinette,2006,1,1,2000,1.0
West Bank Story,2006,1,1,2000,1.0
The Blood of Yingzhou District,2006,1,1,2000,1.0
Crash,2005,3,6,2000,0.5
Brokeback Mountain,2005,3,8,2000,0.375
Memoirs of a Geisha,2005,3,6,2000,0.5
King Kong,2005,3,4,2000,0.75
Capote,2005,1,5,2000,0.2
Walk the Line,2005,1,5,2000,0.2
The Constant Gardener,2005,1,4,2000,0.25
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3,2000,0.3333333333333333
Hustle & Flow,2005,1,2,2000,0.5
Syriana,2005,1,2,2000,0.5
March of the Penguins (La Marche de l'empereur),2005,1,1,2000,1.0
Six Shooter,2005,1,1,2000,1.0
The Moon and the Son: An Imagined Conversation,2005,1,1,2000,1.0
A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1,2000,1.0
Tsotsi,2005,1,1,2000,1.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1,2000,1.0
Million Dollar Baby,2004,4,7,2000,0.5714285714285714
The Aviator,2004,5,11,2000,0.45454545454545453
Ray,2004,2,6,2000,0.3333333333333333
The Incredibles,2004,2,4,2000,0.5
Finding Neverland,2004,1,7,2000,0.14285714285714285
Sideways,2004,1,5,2000,0.2
Lemony Snicket's A Series of Unfortunate Events,2004,1,4,2000,0.25
Spider-Man 2,2004,1,3,2000,0.3333333333333333
Eternal Sunshine of the Spotless Mind,2004,1,2,2000,0.5
The Motorcycle Diaries,2004,1,2,2000,0.5
The Sea Inside,2004,1,2,2000,0.5
Born into Brothels,2004,1,1,2000,1.0
Mighty Times: The Children's March,2004,1,1,2000,1.0
Wasp,2004,1,1,2000,1.0
Ryan,2004,1,1,2000,1.0
The Lord of the Rings: The Return of the King,2003,11,11,2000,1.0
Master and Commander: The Far Side of the World,2003,2,10,2000,0.2
Mystic River,2003,2,6,2000,0.3333333333333333
Cold Mountain,2003,1,7,2000,0.14285714285714285
Lost in Translation,2003,1,4,2000,0.25
Finding Nemo,2003,1,4,2000,0.25
The Barbarian Invasions,2003,1,2,2000,0.5
Two Soldiers,2003,1,1,2000,1.0
Monster,2003,1,1,2000,1.0
Harvie Krumpet,2003,1,1,2000,1.0
Chernobyl Heart,2003,1,1,2000,1.0
The Fog of War,2003,1,1,2000,1.0
Chicago,2002,6,13,2000,0.46153846153846156
The Pianist,2002,3,7,2000,0.42857142857142855
The Lord of the Rings: The Two Towers,2002,2,6,2000,0.3333333333333333
Frida,2002,2,6,2000,0.3333333333333333
The Hours,2002,1,9,2000,0.1111111111111111
Road to Perdition,2002,1,6,2000,0.16666666666666666
Adaptation,2002,1,4,2000,0.25
Talk to Her (Hable con ella),2002,1,2,2000,0.5
This Charming Man (Der Er En Yndig Mand),2002,1,1,2000,1.0
Spirited Away,2002,1,1,2000,1.0
Nowhere in Africa (Nirgendwo in Afrika),2002,1,1,2000,1.0
The ChubbChubbs!,2002,1,1,2000,1.0
Twin Towers,2002,1,1,2000,1.0
Bowling for Columbine,2002,1,1,2000,1.0
8 Mile,2002,1,1,2000,1.0
A Beautiful Mind,2001,4,8,2000,0.5
The Lord of the Rings: The Fellowship of the Ring,2001,4,13,2000,0.3076923076923077
Moulin Rouge!,2001,2,8,2000,0.25
Black Hawk Down,2001,2,4,2000,0.5
Gosford Park,2001,1,7,2000,0.14285714285714285
"Monsters, Inc.",2001,1,4,2000,0.25
Pearl Harbor,2001,1,4,2000,0.25
Iris,2001,1,3,2000,0.3333333333333333
Shrek,2001,1,2,2000,0.5
Training Day,2001,1,2,2000,0.5
Monster's Ball,2001,1,2,2000,0.5
Thoth,2001,1,1,2000,1.0
For the Birds,2001,1,1,2000,1.0
No Man's Land,2001,1,1,2000,1.0
Murder on a Sunday Morning (Un coupable idéal),2001,1,1,2000,1.0
The Accountant,2001,1,1,2000,1.0
Gladiator,2000,5,12,2000,0.4166666666666667
"Crouching Tiger, Hidden Dragon",2000,4,10,2000,0.4
Traffic,2000,4,5,2000,0.8
Erin Brockovich,2000,1,5,2000,0.2
Almost Famous,2000,1,4,2000,0.25
Wonder Boys,2000,1,3,2000,0.3333333333333333
